ANO;MÊS;UNIDADE DA FEDERAÇÃO;PRODUTO;SEGMENTO;VENDAS
2012;JAN;RONDÔNIA;ETANOL HIDRATADO;TRR;0
2012;DEZ;DISTRITO FEDERAL;ETANOL HIDRATADO;CONSUMIDOR FINAL;35
2012;NOV;DISTRITO FEDERAL;ETANOL HIDRATADO;CONSUMIDOR FINAL;28
2012;FEV;RONDÔNIA;ETANOL HIDRATADO;TRR;0
2012;MAI;RONDÔNIA;ETANOL HIDRATADO;TRR;0
2012;ABR;RONDÔNIA;ETANOL HIDRATADO;TRR;0
2012;MAR;RONDÔNIA;ETANOL HIDRATADO;TRR;0
2012;OUT;DISTRITO FEDERAL;ETANOL HIDRATADO;CONSUMIDOR FINAL;75
2012;MAI;DISTRITO FEDERAL;ETANOL HIDRATADO;CONSUMIDOR FINAL;50
2012;ABR;DISTRITO FEDERAL;ETANOL HIDRATADO;CONSUMIDOR FINAL;45
2012;MAR;DISTRITO FEDERAL;ETANOL HIDRATADO;CONSUMIDOR FINAL;55
2012;JUN;DISTRITO FEDERAL;ETANOL HIDRATADO;CONSUMIDOR FINAL;25
2012;SET;DISTRITO FEDERAL;ETANOL HIDRATADO;CONSUMIDOR FINAL;30
2012;AGO;DISTRITO FEDERAL;ETANOL HIDRATADO;CONSUMIDOR FINAL;20
2012;JUL;DISTRITO FEDERAL;ETANOL HIDRATADO;CONSUMIDOR FINAL;25
2012;ABR;ACRE;ETANOL HIDRATADO;TRR;0
2012;MAR;ACRE;ETANOL HIDRATADO;TRR;0
2012;FEV;ACRE;ETANOL HIDRATADO;TRR;0
2012;MAI;ACRE;ETANOL HIDRATADO;TRR;0
2012;AGO;ACRE;ETANOL HIDRATADO;TRR;0
2012;JUL;ACRE;ETANOL HIDRATADO;TRR;0
2012;JUN;ACRE;ETANOL HIDRATADO;TRR;0
2012;JAN;ACRE;ETANOL HIDRATADO;TRR;0
2012;AGO;RONDÔNIA;ETANOL HIDRATADO;TRR;0
2012;JUL;RONDÔNIA;ETANOL HIDRATADO;TRR;0
2012;JUN;RONDÔNIA;ETANOL HIDRATADO;TRR;0
2012;SET;RONDÔNIA;ETANOL HIDRATADO;TRR;0
2012;DEZ;RONDÔNIA;ETANOL HIDRATADO;TRR;0
